year,vendor_id,region,avg_price_per_kg,rainfall_index,temperature_avg,fertilizer_cost_index,government_incentive_score
2020,V005,Karnataka,127.03,0.607,28.31,0.491,0.577
2021,V005,Karnataka,122.29,0.59,28.62,0.461,0.621
2022,V005,Karnataka,129.71,0.757,27.86,0.569,0.752
2023,V005,Karnataka,120.52,0.321,25.85,0.531,0.642
2024,V005,Karnataka,124.61,0.439,25.05,0.47,0.503
2005,V006,Haryana,96.15,0.657,25.24,0.482,0.549
2006,V006,Haryana,94.98,0.722,26.71,0.366,0.761
2007,V006,Haryana,100.66,0.646,27.43,0.459,0.447
2008,V006,Haryana,89.81,0.52,27.16,0.429,0.577
2009,V006,Haryana,92.71,0.444,25.29,0.421,0.538
2010,V006,Haryana,103.7,0.68,24.99,0.454,0.608
2011,V006,Haryana,98.42,0.526,25.17,0.42,0.557
2012,V006,Haryana,103.28,0.71,25.97,0.454,0.538
2013,V006,Haryana,101.24,0.537,27.25,0.407,0.497
2014,V006,Haryana,104.15,0.468,28.47,0.395,0.526
2015,V006,Haryana,113.34,0.692,27.48,0.376,0.577
2016,V006,Haryana,111.4,0.806,24.94,0.53,0.785
2017,V006,Haryana,111.49,0.782,25.8,0.444,0.518
2018,V006,Haryana,107.59,0.382,24.02,0.442,0.562
2019,V006,Haryana,115.32,0.483,26.79,0.479,0.565
2020,V006,Haryana,125.54,0.582,27.31,0.525,0.604
2021,V006,Haryana,123.83,0.61,26.96,0.482,0.516
2022,V006,Haryana,122.13,0.673,25.98,0.544,0.53
2023,V006,Haryana,118.01,0.4,26.59,0.62,0.529
2024,V006,Haryana,122.2,0.553,25.06,0.641,0.577
2005,V007,Haryana,96.1,0.458,25.97,0.44,0.448
2006,V007,Haryana,103.36,0.813,29.19,0.333,0.456
2007,V007,Haryana,101.68,0.878,27.93,0.352,0.569
2008,V007,Haryana,98.02,0.633,27.5,0.438,0.653
2009,V007,Haryana,97.11,0.511,26.31,0.349,0.557
2010,V007,Haryana,107.57,0.729,24.69,0.402,0.389
2011,V007,Haryana,111.97,0.944,24.58,0.421,0.555
2012,V007,Haryana,105.28,0.682,26.49,0.429,0.49
2013,V007,Haryana,98.05,0.492,27.28,0.395,0.66
2014,V007,Haryana,112.85,0.515,28.71,0.437,0.489
2015,V007,Haryana,111.04,0.308,27.0,0.425,0.448
2016,V007,Haryana,112.48,0.651,24.32,0.504,0.62
2017,V007,Haryana,111.43,0.644,23.32,0.435,0.555
2018,V007,Haryana,114.54,0.564,23.83,0.552,0.557
2019,V007,Haryana,119.27,0.568,26.46,0.512,0.634
2020,V007,Haryana,127.71,0.681,27.1,0.572,0.507
2021,V007,Haryana,119.27,0.55,27.56,0.476,0.664
2022,V007,Haryana,120.9,0.448,26.29,0.399,0.427
2023,V007,Haryana,118.32,0.623,24.58,0.528,0.59
2024,V007,Haryana,120.64,0.668,24.36,0.541,0.616
2005,V008,New Mexico,113.47,0.519,24.2,0.336,0.68
2006,V008,New Mexico,116.72,0.724,27.29,0.406,0.501
2007,V008,New Mexico,115.11,0.733,27.18,0.402,0.595
2008,V008,New Mexico,115.4,0.627,27.31,0.346,0.659
2009,V008,New Mexico,115.23,0.424,24.09,0.411,0.532
2010,V008,New Mexico,126.66,0.813,24.92,0.422,0.479
2011,V008,New Mexico,125.13,0.624,23.62,0.327,0.51
2012,V008,New Mexico,127.52,0.792,24.02,0.347,0.487
2013,V008,New Mexico,127.58,0.58,27.04,0.428,0.443
2014,V008,New Mexico,129.43,0.38,27.64,0.509,0.392
2015,V008,New Mexico,136.79,0.651,25.21,0.416,0.447
2016,V008,New Mexico,129.31,0.685,24.97,0.318,0.56
2017,V008,New Mexico,133.73,0.529,22.5,0.528,0.393
2018,V008,New Mexico,131.79,0.587,23.89,0.416,0.535
2019,V008,New Mexico,136.95,0.384,26.2,0.533,0.395
2020,V008,New Mexico,146.9,0.792,26.48,0.522,0.528
2021,V008,New Mexico,146.29,0.663,26.41,0.508,0.493
2022,V008,New Mexico,145.32,0.687,25.71,0.42,0.507
2023,V008,New Mexico,139.23,0.301,26.02,0.523,0.521
2024,V008,New Mexico,149.12,0.43,23.04,0.636,0.386
2005,V009,Arkansas,108.77,0.693,23.12,0.368,0.74
2006,V009,Arkansas,110.87,0.81,25.06,0.419,0.559
2007,V009,Arkansas,110.68,0.626,24.7,0.332,0.484
2008,V009,Arkansas,113.48,0.599,24.94,0.403,0.461
2009,V009,Arkansas,116.04,0.442,22.83,0.425,0.45
2010,V009,Arkansas,114.99,0.605,21.4,0.401,0.365
2011,V009,Arkansas,116.01,0.69,21.03,0.302,0.406
2012,V009,Arkansas,120.74,0.842,22.45,0.533,0.563
2013,V009,Arkansas,124.65,0.645,23.06,0.348,0.562
2014,V009,Arkansas,125.39,0.63,24.94,0.483,0.531
2015,V009,Arkansas,129.0,0.599,23.05,0.436,0.281
2016,V009,Arkansas,124.55,0.535,22.49,0.53,0.537
2017,V009,Arkansas,126.04,0.703,20.75,0.459,0.495
2018,V009,Arkansas,129.09,0.413,21.35,0.496,0.276
2019,V009,Arkansas,133.07,0.559,23.18,0.558,0.443
2020,V009,Arkansas,138.73,0.66,24.21,0.502,0.355
2021,V009,Arkansas,145.12,0.8,23.47,0.475,0.348
2022,V009,Arkansas,147.54,0.769,23.11,0.534,0.331
2023,V009,Arkansas,139.47,0.513,22.86,0.551,0.391
2024,V009,Arkansas,141.53,0.492,22.31,0.651,0.349
2005,V010,Georgia,108.71,0.854,23.36,0.432,0.668
2006,V010,Georgia,110.34,0.886,24.87,0.35,0.437
2007,V010,Georgia,102.68,0.504,25.49,0.332,0.513
2008,V010,Georgia,104.8,0.641,23.06,0.399,0.608
2009,V010,Georgia,112.18,0.63,22.79,0.387,0.536
2010,V010,Georgia,112.75,0.535,22.67,0.329,0.464
2011,V010,Georgia,120.34,0.782,23.7,0.44,0.361
2012,V010,Georgia,118.64,0.734,25.86,0.44,0.484
2013,V010,Georgia,115.46,0.533,25.74,0.478,0.381
2014,V010,Georgia,125.77,0.464,24.58,0.332,0.494
2015,V010,Georgia,126.53,0.684,24.72,0.445,0.542
2016,V010,Georgia,127.84,0.741,22.81,0.51,0.428
2017,V010,Georgia,126.88,0.596,22.56,0.47,0.549
2018,V010,Georgia,125.32,0.622,23.94,0.508,0.436
2019,V010,Georgia,131.38,0.421,23.51,0.481,0.436
2020,V010,Georgia,137.59,0.645,25.22,0.401,0.331
2021,V010,Georgia,145.22,0.695,26.69,0.571,0.399
2022,V010,Georgia,138.89,0.633,24.16,0.505,0.376
2023,V010,Georgia,134.49,0.55,23.7,0.59,0.505
2024,V010,Georgia,137.26,0.471,21.44,0.529,0.288
2005,V011,Telangana,96.12,0.703,27.54,0.22,0.445
2006,V011,Telangana,94.29,0.639,29.16,0.389,0.517
2007,V011,Telangana,93.66,0.703,29.44,0.323,0.466
2008,V011,Telangana,93.42,0.704,27.55,0.299,0.662
2009,V011,Telangana,96.83,0.575,26.86,0.481,0.588
2010,V011,Telangana,105.84,0.647,27.13,0.415,0.655
2011,V011,Telangana,101.9,0.621,27.2,0.376,0.731
2012,V011,Telangana,99.37,0.659,26.92,0.371,0.655
2013,V011,Telangana,100.48,0.543,30.12,0.466,0.64
2014,V011,Telangana,107.16,0.584,29.2,0.427,0.678
2015,V011,Telangana,114.65,0.839,28.14,0.496,0.556
2016,V011,Telangana,112.86,0.822,27.78,0.514,0.519
2017,V011,Telangana,107.2,0.41,28.18,0.415,0.538
2018,V011,Telangana,111.96,0.638,27.52,0.451,0.548
2019,V011,Telangana,118.79,0.653,28.39,0.527,0.636
2020,V011,Telangana,120.17,0.479,29.49,0.467,0.522
2021,V011,Telangana,130.26,0.759,29.71,0.595,0.604
2022,V011,Telangana,119.88,0.511,29.25,0.539,0.714
2023,V011,Telangana,119.23,0.412,27.18,0.487,0.532
2024,V011,Telangana,121.72,0.628,25.58,0.562,0.715
2005,V012,Arkansas,109.7,0.595,22.37,0.382,0.488
2006,V012,Arkansas,108.03,0.607,24.75,0.341,0.668
2007,V012,Arkansas,114.01,0.763,23.33,0.282,0.337
2008,V012,Arkansas,115.38,0.769,23.2,0.389,0.639
2009,V012,Arkansas,113.33,0.729,23.17,0.42,0.558
2010,V012,Arkansas,118.28,0.559,21.4,0.377,0.545
2011,V012,Arkansas,116.75,0.847,20.91,0.4,0.398
2012,V012,Arkansas,124.5,0.642,24.21,0.452,0.363
2013,V012,Arkansas,122.43,0.66,23.99,0.382,0.423
2014,V012,Arkansas,120.26,0.753,24.07,0.384,0.469
2015,V012,Arkansas,125.22,0.601,23.28,0.37,0.501
2016,V012,Arkansas,124.01,0.349,22.33,0.549,0.611
2017,V012,Arkansas,130.6,0.676,20.74,0.485,0.517
2018,V012,Arkansas,127.91,0.516,21.12,0.439,0.412
2019,V012,Arkansas,130.31,0.47,24.19,0.476,0.428
2020,V012,Arkansas,139.42,0.567,24.76,0.486,0.432
2021,V012,Arkansas,135.68,0.564,25.1,0.447,0.449
2022,V012,Arkansas,138.42,0.679,22.36,0.578,0.342
2023,V012,Arkansas,141.57,0.666,21.54,0.533,0.453
2024,V012,Arkansas,135.62,0.477,20.88,0.544,0.298
2005,V013,Arizona,121.12,0.712,25.11,0.3,0.562
2006,V013,Arizona,117.07,0.623,28.03,0.429,0.43
2007,V013,Arizona,115.94,0.539,28.56,0.451,0.522
2008,V013,Arizona,122.79,0.37,28.36,0.376,0.467
2009,V013,Arizona,115.64,0.445,26.01,0.447,0.491
2010,V013,Arizona,129.17,0.579,27.04,0.454,0.43
2011,V013,Arizona,131.09,0.784,26.22,0.368,0.406
2012,V013,Arizona,121.34,0.602,26.24,0.441,0.671
2013,V013,Arizona,129.91,0.684,28.11,0.453,0.354
2014,V013,Arizona,133.17,0.594,29.41,0.569,0.513
2015,V013,Arizona,138.29,0.574,27.92,0.435,0.467
2016,V013,Arizona,138.46,0.759,27.4,0.454,0.233
2017,V013,Arizona,136.71,0.721,24.74,0.445,0.524
2018,V013,Arizona,132.41,0.493,25.51,0.434,0.597
2019,V013,Arizona,142.25,0.718,27.8,0.468,0.47
2020,V013,Arizona,146.98,0.587,27.23,0.559,0.379
2021,V013,Arizona,144.7,0.683,28.93,0.486,0.507
2022,V013,Arizona,149.23,0.859,26.85,0.486,0.466
2023,V013,Arizona,147.23,0.608,26.86,0.585,0.451
2024,V013,Arizona,151.55,0.729,25.43,0.491,0.516
2005,V014,Andhra Pradesh,99.81,0.576,28.57,0.345,0.533
2006,V014,Andhra Pradesh,103.37,0.687,30.58,0.347,0.579
2007,V014,Andhra Pradesh,105.92,0.721,30.03,0.41,0.547
2008,V014,Andhra Pradesh,94.08,0.495,29.64,0.365,0.595
2009,V014,Andhra Pradesh,101.05,0.345,29.11,0.476,0.51
2010,V014,Andhra Pradesh,108.91,0.72,26.8,0.412,0.623
2011,V014,Andhra Pradesh,105.83,0.805,25.66,0.444,0.465
2012,V014,Andhra Pradesh,112.4,0.822,28.89,0.468,0.696
2013,V014,Andhra Pradesh,106.78,0.697,30.23,0.35,0.515
2014,V014,Andhra Pradesh,116.74,0.596,30.56,0.468,0.549
2015,V014,Andhra Pradesh,115.49,0.588,29.06,0.384,0.489
2016,V014,Andhra Pradesh,119.08,0.604,27.22,0.456,0.405
2017,V014,Andhra Pradesh,116.73,0.517,27.29,0.432,0.592
2018,V014,Andhra Pradesh,112.38,0.459,27.7,0.514,0.586
2019,V014,Andhra Pradesh,116.96,0.409,29.86,0.491,0.76
2020,V014,Andhra Pradesh,122.68,0.413,28.73,0.421,0.602
2021,V014,Andhra Pradesh,128.62,0.706,30.08,0.517,0.741
2022,V014,Andhra Pradesh,121.08,0.556,27.93,0.484,0.564
2023,V014,Andhra Pradesh,125.17,0.542,28.17,0.497,0.607
2024,V014,Andhra Pradesh,129.07,0.591,27.46,0.541,0.666
2005,V015,Karnataka,100.27,0.676,26.51,0.368,0.386
2006,V015,Karnataka,100.11,0.673,28.07,0.266,0.45
2007,V015,Karnataka,98.17,0.564,29.47,0.327,0.607
2008,V015,Karnataka,97.02,0.686,26.7,0.426,0.615
2009,V015,Karnataka,103.36,0.55,26.58,0.403,0.507
2010,V015,Karnataka,105.49,0.465,26.58,0.317,0.628
2011,V015,Karnataka,108.01,0.599,24.94,0.399,0.499
2012,V015,Karnataka,107.51,0.864,26.55,0.41,0.367
2013,V015,Karnataka,108.36,0.751,27.19,0.4,0.537
2014,V015,Karnataka,108.9,0.507,28.08,0.439,0.6
2015,V015,Karnataka,117.97,0.567,27.58,0.431,0.524
2016,V015,Karnataka,116.11,0.694,26.91,0.443,0.672
2017,V015,Karnataka,114.65,0.698,24.28,0.414,0.441
2018,V015,Karnataka,117.45,0.851,26.34,0.505,0.385
2019,V015,Karnataka,119.26,0.403,26.87,0.466,0.372
2020,V015,Karnataka,124.33,0.57,29.83,0.454,0.322
2021,V015,Karnataka,128.63,0.946,27.48,0.535,0.533
2022,V015,Karnataka,123.45,0.641,27.85,0.543,0.694
2023,V015,Karnataka,121.08,0.517,26.56,0.513,0.652
2024,V015,Karnataka,131.15,0.521,26.44,0.537,0.418
2005,V016,Punjab,109.13,0.489,25.52,0.419,0.286
2006,V016,Punjab,105.3,0.77,27.13,0.374,0.557
2007,V016,Punjab,104.56,0.696,27.3,0.362,0.491
2008,V016,Punjab,96.45,0.3,27.18,0.39,0.513
2009,V016,Punjab,101.85,0.656,24.73,0.41,0.423
2010,V016,Punjab,109.7,0.655,25.3,0.426,0.598
2011,V016,Punjab,111.49,0.706,25.47,0.448,0.649
2012,V016,Punjab,107.88,0.783,25.98,0.376,0.519
2013,V016,Punjab,109.06,0.493,26.54,0.415,0.351
2014,V016,Punjab,110.66,0.423,27.99,0.487,0.384
2015,V016,Punjab,110.52,0.468,27.31,0.44,0.524
2016,V016,Punjab,113.15,0.603,25.4,0.474,0.691
2017,V016,Punjab,114.54,0.526,25.98,0.532,0.581
2018,V016,Punjab,121.63,0.484,25.21,0.505,0.671
2019,V016,Punjab,118.15,0.474,25.98,0.402,0.501
2020,V016,Punjab,125.85,0.589,26.51,0.556,0.575
2021,V016,Punjab,127.67,0.694,28.12,0.467,0.514
2022,V016,Punjab,125.03,0.51,26.27,0.564,0.611
2023,V016,Punjab,123.95,0.57,25.66,0.525,0.617
2024,V016,Punjab,130.26,0.37,25.68,0.586,0.692
2005,V017,Andhra Pradesh,102.55,0.624,28.51,0.334,0.562
2006,V017,Andhra Pradesh,97.28,0.643,30.17,0.39,0.361
2007,V017,Andhra Pradesh,102.53,0.509,30.06,0.363,0.465
2008,V017,Andhra Pradesh,98.66,0.588,30.15,0.323,0.619
2009,V017,Andhra Pradesh,98.66,0.431,27.11,0.431,0.558
2010,V017,Andhra Pradesh,110.46,0.669,26.59,0.482,0.435
2011,V017,Andhra Pradesh,106.89,0.739,27.39,0.402,0.534
2012,V017,Andhra Pradesh,108.48,0.644,28.82,0.37,0.279
2013,V017,Andhra Pradesh,111.11,0.74,30.16,0.417,0.542
2014,V017,Andhra Pradesh,112.03,0.557,31.03,0.476,0.589
2015,V017,Andhra Pradesh,120.62,0.693,29.37,0.421,0.56
2016,V017,Andhra Pradesh,115.72,0.486,28.48,0.463,0.572
2017,V017,Andhra Pradesh,112.43,0.797,26.26,0.429,0.55
2018,V017,Andhra Pradesh,116.44,0.699,27.84,0.492,0.439
2019,V017,Andhra Pradesh,120.64,0.454,30.03,0.518,0.459
2020,V017,Andhra Pradesh,124.22,0.739,31.44,0.449,0.494
2021,V017,Andhra Pradesh,128.73,0.73,31.25,0.506,0.548
2022,V017,Andhra Pradesh,125.77,0.826,28.36,0.529,0.787
2023,V017,Andhra Pradesh,129.89,0.496,28.2,0.599,0.369
2024,V017,Andhra Pradesh,129.15,0.407,27.19,0.569,0.435
2005,V018,Rajasthan,92.94,0.565,30.15,0.317,0.543
2006,V018,Rajasthan,93.14,0.712,32.62,0.35,0.577
2007,V018,Rajasthan,95.28,0.658,32.65,0.388,0.479
2008,V018,Rajasthan,94.21,0.539,31.36,0.357,0.468
2009,V018,Rajasthan,94.87,0.476,31.03,0.378,0.484
2010,V018,Rajasthan,99.0,0.619,28.02,0.466,0.667
2011,V018,Rajasthan,106.81,0.703,28.28,0.45,0.333
2012,V018,Rajasthan,103.41,0.671,30.01,0.372,0.494
2013,V018,Rajasthan,101.14,0.605,32.75,0.352,0.702
2014,V018,Rajasthan,107.02,0.327,31.31,0.486,0.532
2015,V018,Rajasthan,107.11,0.526,29.65,0.468,0.639
2016,V018,Rajasthan,106.94,0.585,29.7,0.48,0.679
2017,V018,Rajasthan,111.09,0.812,27.11,0.486,0.51
2018,V018,Rajasthan,106.4,0.51,28.29,0.482,0.456
2019,V018,Rajasthan,111.98,0.424,30.53,0.513,0.397
2020,V018,Rajasthan,117.33,0.562,30.8,0.523,0.653
2021,V018,Rajasthan,121.52,0.807,32.85,0.559,0.589
2022,V018,Rajasthan,116.11,0.67,30.99,0.59,0.65
2023,V018,Rajasthan,124.12,0.494,29.04,0.543,0.79
2024,V018,Rajasthan,127.18,0.517,28.97,0.584,0.563
2005,V019,Tamil Nadu,99.91,0.661,29.53,0.371,0.584
2006,V019,Tamil Nadu,105.95,0.557,30.52,0.399,0.551
2007,V019,Tamil Nadu,103.41,0.725,29.59,0.351,0.58
2008,V019,Tamil Nadu,100.12,0.519,28.44,0.362,0.604
2009,V019,Tamil Nadu,103.71,0.535,28.35,0.357,0.59
2010,V019,Tamil Nadu,105.58,0.572,25.81,0.455,0.477
2011,V019,Tamil Nadu,106.71,0.691,28.68,0.441,0.598
2012,V019,Tamil Nadu,112.0,0.746,28.7,0.427,0.357
2013,V019,Tamil Nadu,110.43,0.354,28.95,0.486,0.477
2014,V019,Tamil Nadu,108.56,0.307,29.57,0.502,0.529
2015,V019,Tamil Nadu,115.61,0.658,30.54,0.522,0.514
2016,V019,Tamil Nadu,117.51,0.7,27.58,0.412,0.589
2017,V019,Tamil Nadu,117.17,0.585,27.35,0.424,0.649
2018,V019,Tamil Nadu,109.43,0.356,26.63,0.447,0.557
2019,V019,Tamil Nadu,119.37,0.358,29.17,0.493,0.498
2020,V019,Tamil Nadu,129.44,0.546,31.51,0.567,0.445
2021,V019,Tamil Nadu,126.87,0.621,31.12,0.587,0.468
2022,V019,Tamil Nadu,124.16,0.737,30.09,0.537,0.624
2023,V019,Tamil Nadu,129.68,0.711,28.17,0.528,0.437
2024,V019,Tamil Nadu,126.35,0.527,28.44,0.523,0.651
2005,V020,Maharashtra,99.21,0.581,28.18,0.332,0.487
2006,V020,Maharashtra,101.34,0.513,30.57,0.429,0.376
2007,V020,Maharashtra,96.79,0.66,29.7,0.358,0.432
2008,V020,Maharashtra,98.03,0.412,28.6,0.344,0.583
2009,V020,Maharashtra,101.66,0.5,27.75,0.414,0.528
2010,V020,Maharashtra,104.52,0.5,27.23,0.444,0.449
2011,V020,Maharashtra,105.17,0.708,27.69,0.528,0.451
2012,V020,Maharashtra,109.51,0.746,27.82,0.493,0.401
2013,V020,Maharashtra,109.37,0.683,30.77,0.392,0.485
2014,V020,Maharashtra,105.61,0.481,29.48,0.344,0.544
2015,V020,Maharashtra,114.33,0.72,27.65,0.491,0.522
2016,V020,Maharashtra,115.22,0.769,27.81,0.508,0.522
2017,V020,Maharashtra,110.56,0.522,28.9,0.532,0.425
2018,V020,Maharashtra,114.37,0.62,27.27,0.467,0.552
2019,V020,Maharashtra,120.97,0.3,27.82,0.447,0.588
2020,V020,Maharashtra,124.02,0.587,29.91,0.524,0.617
2021,V020,Maharashtra,121.71,0.685,29.84,0.464,0.636
2022,V020,Maharashtra,124.08,0.608,29.43,0.566,0.46
2023,V020,Maharashtra,119.09,0.38,27.18,0.515,0.833
2024,V020,Maharashtra,121.45,0.38,27.35,0.644,0.436
2005,V021,Texas,118.46,0.733,25.31,0.377,0.236
2006,V021,Texas,120.0,0.804,26.36,0.364,0.402
2007,V021,Texas,114.0,0.573,26.67,0.403,0.576
2008,V021,Texas,108.81,0.398,26.41,0.377,0.747
2009,V021,Texas,122.1,0.678,25.57,0.478,0.517
2010,V021,Texas,125.52,0.72,25.41,0.369,0.343
2011,V021,Texas,125.82,0.649,25.82,0.387,0.466
2012,V021,Texas,120.68,0.477,25.51,0.431,0.585
2013,V021,Texas,123.84,0.509,26.66,0.371,0.398
2014,V021,Texas,124.03,0.3,28.18,0.504,0.52
2015,V021,Texas,135.31,0.589,27.13,0.483,0.377
2016,V021,Texas,142.21,0.864,25.91,0.499,0.453
2017,V021,Texas,133.6,0.593,25.66,0.505,0.396
2018,V021,Texas,136.67,0.602,24.99,0.496,0.605
2019,V021,Texas,137.97,0.609,25.17,0.51,0.611
2020,V021,Texas,139.68,0.492,26.3,0.461,0.388
2021,V021,Texas,151.32,0.786,26.74,0.586,0.471
2022,V021,Texas,148.09,0.711,25.78,0.565,0.432
2023,V021,Texas,139.64,0.393,25.83,0.483,0.456
2024,V021,Texas,150.63,0.424,24.98,0.571,0.335
2005,V022,Rajasthan,95.09,0.559,29.19,0.252,0.535
2006,V022,Rajasthan,105.17,0.674,31.72,0.345,0.472
2007,V022,Rajasthan,102.57,0.707,31.84,0.293,0.586
2008,V022,Rajasthan,102.62,0.466,30.62,0.373,0.548
2009,V022,Rajasthan,105.45,0.428,29.85,0.456,0.559
2010,V022,Rajasthan,110.92,0.803,28.74,0.452,0.539
2011,V022,Rajasthan,108.32,0.834,28.17,0.487,0.58
2012,V022,Rajasthan,107.81,0.467,30.5,0.464,0.476
2013,V022,Rajasthan,107.94,0.588,30.33,0.504,0.736
2014,V022,Rajasthan,117.14,0.69,30.87,0.416,0.668
2015,V022,Rajasthan,117.77,0.54,32.24,0.423,0.516
